Project Organization,Month Year,Total IC Amount
Plant Sciences,2003-09,-26.94
Plant Sciences,2003-10,19.54
Plant Sciences,2003-11,38.35
Plant Sciences,2003-12,36.82
Plant Sciences,2004-01,60.42
Plant Sciences,2004-02,61.72
Plant Sciences,2004-03,45.89
Plant Sciences,2004-04,74
Plant Sciences,2004-05,144.08
Plant Sciences,2004-06,-18.3
Plant Sciences,2004-07,48.61
Plant Sciences,2004-08,111.32
Plant Sciences,2004-09,76.86
Plant Sciences,2004-10,54.23
Plant Sciences,2004-11,109.6
Plant Sciences,2004-12,99.98
Plant Sciences,2005-01,267.83
Plant Sciences,2005-02,288.47
Plant Sciences,2005-03,250.35
Plant Sciences,2005-04,92.95
Plant Sciences,2005-05,752.23
Plant Sciences,2005-06,-421.67
Plant Sciences,2005-07,50.39
Plant Sciences,2005-08,64.32
Plant Sciences,2005-09,60.45
Plant Sciences,2005-10,51.58
Plant Sciences,2005-11,42.49
Plant Sciences,2005-12,43.13
Plant Sciences,2006-01,193.01
Plant Sciences,2006-02,-141.87
Plant Sciences,2006-03,195.86
Plant Sciences,2006-04,203.22
Plant Sciences,2006-05,73.03
Plant Sciences,2006-06,151.02
Plant Sciences,2006-07,157.98
Plant Sciences,2006-08,77.18
Plant Sciences,2006-09,77.46
Plant Sciences,2006-10,82.37
Plant Sciences,2006-11,77.16
Plant Sciences,2006-12,77.28
Plant Sciences,2007-01,77.18
Plant Sciences,2007-02,37.99
Plant Sciences,2007-03,79.27
Plant Sciences,2007-04,79.27
Plant Sciences,2007-05,0.64
Plant Sciences,2007-06,15.78
Plant Sciences,2007-07,118.11
Plant Sciences,2007-08,176.62
Plant Sciences,2007-09,-167.17
Plant Sciences,2007-10,108.11
Plant Sciences,2007-11,84.09
Plant Sciences,2007-12,84.15
Plant Sciences,2008-01,88.61
Plant Sciences,2008-02,85.05
Plant Sciences,2008-03,84.15
Plant Sciences,2008-04,85.69
Plant Sciences,2008-05,-49.99
Plant Sciences,2008-06,84.87
Plant Sciences,2008-07,89.99
Plant Sciences,2008-08,89.96
Plant Sciences,2008-09,89.99
Plant Sciences,2008-10,-162.16
Plant Sciences,2008-11,89.99
Plant Sciences,2008-12,90.19
Plant Sciences,2009-01,90.19
Plant Sciences,2009-02,-87.85
Plant Sciences,2009-03,90.19
Plant Sciences,2009-04,-2.94
Plant Sciences,2009-05,88.81
Plant Sciences,2009-06,78.91
Plant Sciences,2009-07,99.01
Plant Sciences,2009-08,-346.6
Plant Sciences,2009-09,99.01
Plant Sciences,2009-10,99.01
Plant Sciences,2009-11,99.01
Plant Sciences,2009-12,-185.58
Plant Sciences,2010-01,100.15
Plant Sciences,2010-02,100.15
Plant Sciences,2010-03,-36.82
Plant Sciences,2010-04,-337.75
Plant Sciences,2010-05,94.19
Plant Sciences,2010-06,109.93
Plant Sciences,2010-07,4.03
Plant Sciences,2010-08,100.15
Plant Sciences,2010-09,101.22
Plant Sciences,2010-10,-378.24
Plant Sciences,2010-11,3.87
Plant Sciences,2010-12,-93
Plant Sciences,2011-01,4.85
Plant Sciences,2011-02,4.85
Plant Sciences,2011-03,4.83
Plant Sciences,2011-04,4.85
Plant Sciences,2011-05,4.85
Plant Sciences,2011-06,4.23
Plant Sciences,2011-07,91.63
Plant Sciences,2011-08,103.77
Plant Sciences,2011-09,103.77
Plant Sciences,2011-10,103.77
Plant Sciences,2011-11,-280.39
Plant Sciences,2011-12,103.89
Plant Sciences,2012-01,116.77
Plant Sciences,2012-02,104.29
Plant Sciences,2012-03,-390.81
Plant Sciences,2012-04,5.24
Plant Sciences,2012-05,32.8
Plant Sciences,2012-06,478.24
Plant Sciences,2012-07,482.28
Plant Sciences,2012-08,1016.63
Plant Sciences,2012-09,804.26
Plant Sciences,2012-10,652.43
Plant Sciences,2012-11,238.34
Plant Sciences,2012-12,832.5
Plant Sciences,2013-01,878.15
Plant Sciences,2013-02,725.14
Plant Sciences,2013-03,821.35
Plant Sciences,2013-04,805.17
Plant Sciences,2013-05,511.57
Plant Sciences,2013-06,591.32
Plant Sciences,2013-07,609.98
Plant Sciences,2013-08,497.21
Plant Sciences,2013-09,359.6
Plant Sciences,2013-10,356.8
Plant Sciences,2013-11,328.18
Plant Sciences,2013-12,302.87
Plant Sciences,2014-01,326.96
Plant Sciences,2014-02,450.06
Plant Sciences,2014-03,989.27
Plant Sciences,2014-04,265.81
Plant Sciences,2014-05,477.46
Plant Sciences,2014-06,6833.38
Plant Sciences,2014-07,2488.53
Plant Sciences,2014-08,1662.22
Plant Sciences,2014-09,4033.52
Plant Sciences,2014-10,1419.6
Plant Sciences,2014-11,731.52
Plant Sciences,2014-12,1863.8
Plant Sciences,2015-01,16444.51
Plant Sciences,2015-02,1365.24
Plant Sciences,2015-03,2732.69
Plant Sciences,2015-04,1711.26
Plant Sciences,2015-05,1710.15
Plant Sciences,2015-06,6662.09
Plant Sciences,2015-07,3114.61
Plant Sciences,2015-08,7354.1
Plant Sciences,2015-09,7500.42
Plant Sciences,2015-10,2366.86
Plant Sciences,2015-11,2077.33
Plant Sciences,2015-12,3541.07
Plant Sciences,2016-01,6786.61
Plant Sciences,2016-02,571.6
Plant Sciences,2016-03,2104.52
Plant Sciences,2016-04,2595.26
Plant Sciences,2016-05,2808.7
Plant Sciences,2016-06,12857.6
Plant Sciences,2016-07,16525.68
Plant Sciences,2016-08,8152.15
Plant Sciences,2016-09,6333.36
Plant Sciences,2016-10,5496.76
Plant Sciences,2016-11,4344.77
Plant Sciences,2016-12,4539.32
Plant Sciences,2017-01,5872.45
Plant Sciences,2017-02,8463.59
Plant Sciences,2017-03,10482.35
Plant Sciences,2017-04,10157.89
Plant Sciences,2017-05,12792.71
Plant Sciences,2017-06,18840.87
Plant Sciences,2017-07,14834.01
Plant Sciences,2017-08,10517.77
Plant Sciences,2017-09,5677.63
Plant Sciences,2017-10,7104.71
Plant Sciences,2017-11,6484.33
Plant Sciences,2017-12,7663.33
Plant Sciences,2018-01,4854.48
Plant Sciences,2018-02,10007.07
Plant Sciences,2018-03,8479.02
Plant Sciences,2018-04,7483.19
Plant Sciences,2018-05,-23191.36
Plant Sciences,2018-06,22675.4
Plant Sciences,2018-07,27778.97
Plant Sciences,2018-08,8328.23
Plant Sciences,2018-09,8483.81
Plant Sciences,2018-10,6097.32
Plant Sciences,2018-11,9186.42
Plant Sciences,2018-12,26633.63
Plant Sciences,2019-01,21517.84
Plant Sciences,2019-02,5112.36
Plant Sciences,2019-03,8659.34
Plant Sciences,2019-04,6108.57
Plant Sciences,2019-05,3647.51
Plant Sciences,2019-06,9041.24
Plant Sciences,2019-07,15418.86
Plant Sciences,2019-08,16239.85
Plant Sciences,2019-09,8082.25
Plant Sciences,2019-10,18011.25
Plant Sciences,2019-11,5567.65
Plant Sciences,2019-12,6330.87
Plant Sciences,2020-01,8366.53
Plant Sciences,2020-02,7491.33
Plant Sciences,2020-03,7742.69
Plant Sciences,2020-04,14368.2
Plant Sciences,2020-05,5540.13
Plant Sciences,2020-06,9464.64
Plant Sciences,2020-07,6516.99
Plant Sciences,2020-08,5981.83
Plant Sciences,2020-09,5910.34
Plant Sciences,2020-10,5490.75
Plant Sciences,2020-11,4711.89
Plant Sciences,2020-12,5442.9
Plant Sciences,2021-01,1801.87
Plant Sciences,2021-02,3300.54
Plant Sciences,2021-03,2646.18
Plant Sciences,2021-04,2213.97
Plant Sciences,2021-05,6620.71
Plant Sciences,2021-06,13519.18
Plant Sciences,2021-07,15584.34
Plant Sciences,2021-08,6902.56
Plant Sciences,2021-09,6026.36
Plant Sciences,2021-10,4586.11
Plant Sciences,2021-11,4927.65
Plant Sciences,2021-12,12131.65
Plant Sciences,2022-01,3560.32
Plant Sciences,2022-02,3045.09
Plant Sciences,2022-03,3710.23
Plant Sciences,2022-04,5639.09
Plant Sciences,2022-05,4267.39
Plant Sciences,2022-06,16636.58
Plant Sciences,2022-07,9593.26
Plant Sciences,2022-08,8595.2
Plant Sciences,2022-09,14749.17
Plant Sciences,2022-10,5109.08
Plant Sciences,2022-11,3061.99
Plant Sciences,2022-12,3735.45
Plant Sciences,2023-01,1653.94
Plant Sciences,2023-02,2657.84
Plant Sciences,2023-03,5124.22
Plant Sciences,2023-04,3506.04
Plant Sciences,2023-05,4089.3
Plant Sciences,2023-06,11074.38
Plant Sciences,2023-07,15031.58
Plant Sciences,2023-08,11762.34
Plant Sciences,2023-09,2911.46
Plant Sciences,2023-10,3401.27
Plant Sciences,2023-11,4912.61
Plant Sciences,2023-12,2618.36
Plant Sciences,2024-01,6178.62
Plant Sciences,2024-02,3584.92
Plant Sciences,2024-03,5158.74
Plant Sciences,2024-04,6155.61
Plant Sciences,2024-05,7362.24
Plant Sciences,2024-06,7172.22
Plant Sciences,2024-07,15246.96
Plant Sciences,2024-08,5629.47
Plant Sciences,2024-09,8165.95
Plant Sciences,2024-10,7456.93
Plant Sciences,2024-11,9316.82
Plant Sciences,2024-12,7675.97
Plant Sciences,2025-01,10046.83
Plant Sciences,2025-02,7196.97
Plant Sciences,2025-03,5467.46
Plant Sciences,2025-04,6043.66
Plant Sciences,2025-05,14968.86
Plant Sciences,2025-06,994.87
Politics Public Affairs & International Studies,2016-12,18.88
Politics Public Affairs & International Studies,2018-04,38.03
Politics Public Affairs & International Studies,2018-06,1375
Politics Public Affairs & International Studies,2018-11,472.65
Politics Public Affairs & International Studies,2018-12,882.32
Politics Public Affairs & International Studies,2019-06,1438.2
Politics Public Affairs & International Studies,2019-07,10666.37
Politics Public Affairs & International Studies,2019-08,84.55
Politics Public Affairs & International Studies,2019-09,3165.35
Politics Public Affairs & International Studies,2019-10,-0.5
Politics Public Affairs & International Studies,2021-09,592.34
Politics Public Affairs & International Studies,2021-10,5254.88
Politics Public Affairs & International Studies,2021-11,3404.36
Politics Public Affairs & International Studies,2021-12,6933.34
Politics Public Affairs & International Studies,2022-01,3206.76
Politics Public Affairs & International Studies,2022-02,3175.32
Politics Public Affairs & International Studies,2022-03,5045.2
Politics Public Affairs & International Studies,2022-04,8438.58
Politics Public Affairs & International Studies,2022-05,5065.93
Politics Public Affairs & International Studies,2022-06,12419.65
Politics Public Affairs & International Studies,2022-07,5317.35
Politics Public Affairs & International Studies,2022-08,15069.94
Politics Public Affairs & International Studies,2022-09,12342.58
Politics Public Affairs & International Studies,2022-10,10236.41
Politics Public Affairs & International Studies,2022-11,6810.29
Politics Public Affairs & International Studies,2022-12,7620.09
Politics Public Affairs & International Studies,2023-01,5044.62
Politics Public Affairs & International Studies,2023-02,5681.9
Politics Public Affairs & International Studies,2023-03,4887.78
Politics Public Affairs & International Studies,2023-04,7197.21
Politics Public Affairs & International Studies,2023-05,10381.19
Politics Public Affairs & International Studies,2023-06,11222.73
Politics Public Affairs & International Studies,2023-07,26464.21
Politics Public Affairs & International Studies,2023-08,13627.26
Politics Public Affairs & International Studies,2023-09,10964.43
Politics Public Affairs & International Studies,2023-10,6997.09
Politics Public Affairs & International Studies,2023-11,30421.06
Politics Public Affairs & International Studies,2023-12,8577.01
Politics Public Affairs & International Studies,2024-01,6552.67
Politics Public Affairs & International Studies,2024-02,11030.29
Politics Public Affairs & International Studies,2024-03,14733.87
Politics Public Affairs & International Studies,2024-04,18424.37
Politics Public Affairs & International Studies,2024-05,11375.4
Politics Public Affairs & International Studies,2024-06,15759.58
Politics Public Affairs & International Studies,2024-07,10903.23
Politics Public Affairs & International Studies,2024-08,12545.27
Politics Public Affairs & International Studies,2024-09,7951.26
Politics Public Affairs & International Studies,2024-10,3124.95
Politics Public Affairs & International Studies,2024-11,2047.42
Politics Public Affairs & International Studies,2024-12,2204.47
Politics Public Affairs & International Studies,2025-01,1674.47
Politics Public Affairs & International Studies,2025-02,1674.66
Politics Public Affairs & International Studies,2025-03,3219.45
Politics Public Affairs & International Studies,2025-04,3069.21
Politics Public Affairs & International Studies,2025-05,1683.98
Provosts Office,2023-07,154.97
Psychology,2017-05,2379.29
Psychology,2017-06,525.97
Psychology,2017-07,1096.8
Psychology,2017-08,475.31
Psychology,2017-09,8237.89
Psychology,2017-10,5055.96
Psychology,2017-11,2162.8
Psychology,2017-12,2347.86
Psychology,2018-01,1911.61
Psychology,2018-02,4188.52
Psychology,2018-03,2898.83
Psychology,2018-04,2673.99
Psychology,2018-05,6444.84
Psychology,2018-06,3573.84
Psychology,2018-07,189.57
Psychology,2018-08,19010.77
Psychology,2018-09,16535.55
Psychology,2018-10,3110.63
Psychology,2018-11,6524.6
Psychology,2018-12,7442.06
Psychology,2019-01,3339.23
Psychology,2019-02,5295.61
Psychology,2019-03,8441.79
Psychology,2019-04,16135.01
Psychology,2019-05,15556.71
Psychology,2019-06,7711.94
Psychology,2019-07,21454.6
Psychology,2019-08,14957.94
Psychology,2019-09,8184.36
Psychology,2019-10,13020.4
Psychology,2019-11,14823.52
Psychology,2019-12,10604.95
Psychology,2020-01,10805.15
Psychology,2020-02,14988.61
Psychology,2020-03,15304.9
Psychology,2020-04,15984.8
Psychology,2020-05,15390.93
Psychology,2020-06,17339.63
Psychology,2020-07,20213.83
Psychology,2020-08,16273.19
Psychology,2020-09,48196.96
Psychology,2020-10,29091.08
Psychology,2020-11,24516.07
Psychology,2020-12,16166.72
Psychology,2021-01,16151.35
Psychology,2021-02,14796.25
Psychology,2021-03,19299.66
Psychology,2021-04,14195.51
Psychology,2021-05,21046.01
Psychology,2021-06,19975.9
Psychology,2021-07,32452.32
Psychology,2021-08,18179.12
Psychology,2021-09,13234.97
Psychology,2021-10,11689.05
Psychology,2021-11,11239.03
Psychology,2021-12,26424.02
Psychology,2022-01,12619.71
Psychology,2022-02,12778.2
Psychology,2022-03,14924.08
Psychology,2022-04,13253.06
Psychology,2022-05,18990.87
Psychology,2022-06,33164.54
Psychology,2022-07,31601.02
Psychology,2022-08,20076.78
Psychology,2022-09,22685.24
Psychology,2022-10,11788.72
Psychology,2022-11,13874.83
Psychology,2022-12,15396.66
Psychology,2023-01,11229.4
Psychology,2023-02,12388.52
Psychology,2023-03,7528.04
Psychology,2023-04,15693.26
Psychology,2023-05,14162.43
Psychology,2023-06,17888.79
Psychology,2023-07,22712.93
Psychology,2023-08,10875.06
Psychology,2023-09,15978.23
Psychology,2023-10,17266.37
Psychology,2023-11,14653.67
Psychology,2023-12,15423.55
Psychology,2024-01,11919.46
Psychology,2024-02,12743.46
Psychology,2024-03,15211.7
Psychology,2024-04,14247.55
Psychology,2024-05,25794.05
Psychology,2024-06,33805.49
Psychology,2024-07,20960.97
Psychology,2024-08,22980.51
Psychology,2024-09,11847.86
Psychology,2024-10,26673
Psychology,2024-11,14337.8
Psychology,2024-12,14844.53
Psychology,2025-01,12386.43
Psychology,2025-02,12517.53
Psychology,2025-03,13981.74
Psychology,2025-04,13365.58
Psychology,2025-05,19593.47
Psychology,2025-06,131.69
R&E Center Laramie,2025-04,61.43
R&E Center Powell,2015-06,125
R&E Center Powell,2019-05,1794.32
R&E Center Powell,2019-07,-50
R&E Center Powell,2019-08,-897.16
R&E Center Powell,2019-09,30
R&E Center Powell,2019-11,152.84
R&E Center SAREC,2015-02,66.15
R&E Center SAREC,2015-05,1118.42
R&E Center SAREC,2016-02,110.25
R&E Center SAREC,2017-07,-150
R&E Center SAREC,2017-09,32.78
R&E Center SAREC,2018-01,912.97
R&E Center SAREC,2018-04,743.57
R&E Center SAREC,2018-05,86.06
R&E Center SAREC,2018-06,780.35
R&E Center SAREC,2018-07,405.89
R&E Center SAREC,2018-08,1951.14
R&E Center SAREC,2018-09,2752.01
R&E Center SAREC,2018-10,2036.65
R&E Center SAREC,2018-11,1459.54
R&E Center SAREC,2018-12,2045.41
R&E Center SAREC,2019-01,2528.59
R&E Center SAREC,2019-02,993.89
R&E Center SAREC,2019-03,3637.87
R&E Center SAREC,2019-04,1757.31
R&E Center SAREC,2019-05,4887.84
R&E Center SAREC,2019-06,1920.87
R&E Center SAREC,2019-07,1547.79
R&E Center SAREC,2019-08,2289.96
R&E Center SAREC,2019-09,1885.27
R&E Center SAREC,2019-10,1347.12
R&E Center SAREC,2019-11,1283.61
R&E Center SAREC,2019-12,1609.14
R&E Center SAREC,2020-01,1524.21
R&E Center SAREC,2020-02,1444.74
R&E Center SAREC,2020-03,1713.33
R&E Center SAREC,2020-04,1215.33
R&E Center SAREC,2020-05,1215.33
R&E Center SAREC,2020-06,1533.89
R&E Center SAREC,2020-07,1236.79
R&E Center SAREC,2020-08,1244.94
R&E Center SAREC,2020-09,1867.63
R&E Center SAREC,2020-10,2018.07
R&E Center SAREC,2020-11,2242.46
R&E Center SAREC,2020-12,1418.75
R&E Center SAREC,2021-01,805.44
R&E Center SAREC,2021-02,1534.31
R&E Center SAREC,2021-03,2107.33
R&E Center SAREC,2021-04,2341.87
R&E Center SAREC,2021-05,0
R&E Center Sheridan,2018-08,-100
Residence Life Operations,2017-08,286.91
Residence Life Operations,2017-09,45
Residence Life Operations,2017-10,57.56
Residence Life Operations,2017-11,32.09
Residence Life Operations,2017-12,124.71
Residential Campus Dining,2016-05,8.81
Residential Campus Dining,2016-06,1622.47
Residential Campus Dining,2016-07,2289.98
Residential Campus Dining,2016-08,537.02
Residential Campus Dining,2016-09,982.31
Residential Campus Dining,2016-10,259.45
Residential Campus Dining,2016-11,328.92
Residential Campus Dining,2016-12,515.3
Residential Campus Dining,2017-01,141.96
Residential Campus Dining,2017-02,423.56
Residential Campus Dining,2017-03,718.24
Residential Campus Dining,2017-04,1198.61
Residential Campus Dining,2017-05,1433.82
Residential Campus Dining,2017-06,1723.98
Residential Campus Dining,2017-07,1822.73
Residential Campus Dining,2017-08,2160.34
Residential Campus Dining,2017-09,455.38
Residential Campus Dining,2017-10,256.6
Residential Campus Dining,2017-11,229.6
Residential Campus Dining,2017-12,19.91
Residential Campus Dining,2018-01,1.18
Residential Campus Dining,2018-02,69.45
Residential Campus Dining,2018-03,66.8
Residential Campus Dining,2018-04,0
Residential Campus Dining,2018-05,66.8
Residential Campus Dining,2018-06,-66.8
Residential Campus Dining,2018-07,87.43
Residential Campus Dining,2018-08,68.14
Residential Campus Dining,2018-09,-278.03
Residential Campus Dining,2018-12,140.42
Residential Campus Dining,2019-05,161.36
Residential Campus Dining,2019-06,307.08
Residential Campus Dining,2019-07,959.09
Residential Campus Dining,2019-08,1341.09
Residential Campus Dining,2019-09,317.66
Residential Campus Dining,2019-10,175.66
Residential Campus Dining,2019-11,27.95
Residential Campus Dining,2019-12,14.39
